NUM_CATEGORIES|6
NUM_QUESTIONS_PER_CATEGORY|5

C|Category 1
    Q|Question 1
    O|One
    O|Two
    O|Three
    A|Four

    Q|Question 2
    O|One
    O|Two
    O|Three
    A|Four

    Q|Question 3
    O|One
    O|Two
    O|Three
    A|Four

    Q|Question 4
    O|One
    O|Two
    O|Three
    A|Four

    Q|Question 5
    O|One
    O|Two
    O|Three
    A|Four

C|Category 2
    Q|Question 1
    O|One
    O|Two
    O|Three
    A|Four

    Q|Question 2
    O|One
    O|Two
    O|Three
    A|Four

    Q|Question 3
    O|One
    O|Two
    O|Three
    A|Four

    Q|Question 4
    O|One
    O|Two
    O|Three
    A|Four

    Q|Question 5
    O|One
    O|Two
    O|Three
    A|Four

C|Category 3
    Q|Question 1
    O|One
    O|Two
    O|Three
    A|Four

    Q|Question 2
    O|One
    O|Two
    O|Three
    A|Four
    
    Q|Question 3
    O|One
    O|Two
    O|Three
    A|Four
    
    Q|Question 4
    O|One
    O|Two
    O|Three
    A|Four
    
    Q|Question 5
    O|One
    O|Two
    O|Three
    A|Four
C|Category 4
    Q|Question 1
    O|One
    O|Two
    O|Three
    A|Four
    
    Q|Question 2
    O|One
    O|Two
    O|Three
    A|Four
    
    Q|Question 3
    O|One
    O|Two
    O|Three
    A|Four
    
    Q|Question 4
    O|One
    O|Two
    O|Three
    A|Four
    
    Q|Question 5
    O|One
    O|Two
    O|Three
    A|Four
C|Category 5
    Q|Question 1
    O|One
    O|Two
    O|Three
    A|Four

    Q|Question 2
    O|One
    O|Two
    O|Three
    A|Four

    Q|Question 3
    O|One
    O|Two
    O|Three
    A|Four

    Q|Question 4
    O|One
    O|Two
    O|Three
    A|Four

    Q|Question 5
    O|One
    O|Two
    O|Three
    A|Four

C|Category 6
    Q|Question 1
    O|One
    O|Two
    O|Three
    A|Four

    Q|Question 2
    O|One
    O|Two
    O|Three
    A|Four

    Q|Question 3
    O|One
    O|Two
    O|Three
    A|Four

    Q|Question 4
    O|One
    O|Two
    O|Three
    A|Four

    Q|Question 5
    O|One
    O|Two
    O|Three
    A|Four
